Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Webull,BULL,Sell,Filled,2300,2300,@15.02,15.02,DAY,08/22/2025 11:01:12 EDT,08/22/2025 11:01:13 EDT
Webull,BULL,Buy,Filled,1000,1000,@14.35,14.35,DAY,08/20/2025 10:00:37 EDT,08/20/2025 10:00:43 EDT
Webull,BULL,Buy,Filled,300,300,@15.12,15.12,DAY,08/19/2025 13:02:14 EDT,08/19/2025 13:02:14 EDT
Webull,BULL,Buy,Cancelled,0,300,@15.27,,DAY,08/19/2025 12:23:46 EDT,
Webull,BULL,Sell,Cancelled,0,100,@15.78,,DAY,08/19/2025 12:07:12 EDT,
Webull,BULL,Sell,Cancelled,0,500,@15.58,,DAY,08/19/2025 12:05:33 EDT,
Webull,BULL,Sell,Cancelled,0,500,@15.56,,DAY,08/19/2025 12:05:25 EDT,
Robinhood Markets  Inc.,HOOD,Sell,Filled,200,200,@110.35,110.35,DAY,08/19/2025 11:19:48 EDT,08/19/2025 11:19:48 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,200,200,@109.69,109.69,DAY,08/19/2025 11:02:33 EDT,08/19/2025 11:02:34 EDT
Webull,BULL,Sell,Cancelled,0,1000,@15.59,,DAY,08/19/2025 10:28:48 EDT,
Webull,BULL,Buy,Filled,1000,1000,@15.52,15.52,DAY,08/19/2025 10:20:31 EDT,08/19/2025 10:20:31 EDT
Webull,BULL,Buy,Cancelled,0,1000,@15.51,,DAY,08/19/2025 10:17:26 EDT,
Webull,BULL,Sell,Filled,2000,2000,@15.60,15.60,DAY,08/19/2025 09:53:08 EDT,08/19/2025 09:53:08 EDT
Webull,BULL,Buy,Filled,1000,1000,@15.43,15.43,DAY,08/19/2025 09:50:48 EDT,08/19/2025 09:51:14 EDT
Webull,BULL,Buy,Filled,1000,1000,@15.62,15.62,DAY,08/19/2025 09:46:27 EDT,08/19/2025 09:46:33 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,500,500,@111.27,111.27,DAY,08/18/2025 10:20:46 EDT,08/18/2025 10:20:53 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,200,200,@110.31,110.31,DAY,08/18/2025 09:55:02 EDT,08/18/2025 09:55:03 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@111.30,111.30,DAY,08/18/2025 09:52:14 EDT,08/18/2025 09:52:16 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@111.52,111.52,DAY,08/18/2025 09:49:07 EDT,08/18/2025 09:49:08 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@111.74,111.74,DAY,08/18/2025 09:47:20 EDT,08/18/2025 09:47:21 EDT
Webull,BULL,Sell,Filled,100,100,@16.11,16.11,DAY,08/18/2025 09:41:36 EDT,08/18/2025 09:41:37 EDT
Webull,BULL,Sell,Cancelled,0,100,@16.08,,DAY,08/18/2025 09:39:55 EDT,
